Actividad Bandera Cliente Duracion
Parado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::c0eu71RbdmA MUY_CORTO
Parado m_vistaCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::c0eu71RbdmA CORTO
Parado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::c0eu71RbdmA MEDIO
Parado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::c0eu71RbdmA MUY_CORTO
Parado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado m_configCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY CORTO
Parado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MEDIO
Parado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY CORTO
Parado-Inclinado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Andando-Corriendo m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Andando-Corriendo m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Andando-Corriendo m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Bicicleta m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_configCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado m_configCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY CORTO
Parado m_contacto f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY CORTO
Parado m_principal f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado m_vistaCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado-Inclinado m_vistaCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MUY_CORTO
Parado m_vistaCam f4e637a4-d3ca-4638-a2a8-86d9c9dd7e90::e2ZIROCJKTY MEDIO
